date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:29	194066/194066	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222f612-5a626cf2ff4f2%22	https://www.simpletraffic.co/front/assets/vendor/font-awesome/webfonts/fa-solid-900.eot?	C:/Users/ADmin/Documents/fdsfdsf/www.simpletraffic.co/front/assets/vendor/font-awesome/webfonts/fa-solid-900d41d.eot	(from https://www.simpletraffic.co/front/assets/vendor/font-awesome/css/all.min.css)
11:28:30	98996/98996	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22182b4-5a626cf465b62%22	https://www.simpletraffic.co/front/assets/vendor/font-awesome/webfonts/fa-solid-900.woff	C:/Users/ADmin/Documents/fdsfdsf/www.simpletraffic.co/front/assets/vendor/font-awesome/webfonts/fa-solid-900.woff	(from https://www.simpletraffic.co/front/assets/vendor/font-awesome/css/all.min.css)
11:28:31	193780/193780	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%222f4f4-5a626cf17f842%22	https://www.simpletraffic.co/front/assets/vendor/font-awesome/webfonts/fa-solid-900.ttf	C:/Users/ADmin/Documents/fdsfdsf/www.simpletraffic.co/front/assets/vendor/font-awesome/webfonts/fa-solid-900.ttf	(from https://www.simpletraffic.co/front/assets/vendor/font-awesome/css/all.min.css)
11:28:31	849145/849145	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cf4f9-5a626cf3f373d%22	https://www.simpletraffic.co/front/assets/vendor/font-awesome/webfonts/fa-solid-900.svg	C:/Users/ADmin/Documents/fdsfdsf/www.simpletraffic.co/front/assets/vendor/font-awesome/webfonts/fa-solid-900.svg	(from https://www.simpletraffic.co/front/assets/vendor/font-awesome/css/all.min.css)
11:28:32	77467/77467	---M--	200	added ('OK')	image/jpeg	etag:%2212e9b-5a626bfd85d17%22	https://www.simpletraffic.co/front/assets/vendor/dzsparallaxer/img/grey_wash_wall.jpg	C:/Users/ADmin/Documents/fdsfdsf/www.simpletraffic.co/front/assets/vendor/dzsparallaxer/img/grey_wash_wall.jpg	(from https://www.simpletraffic.co/front/assets/vendor/dzsparallaxer/dzsparallaxer.css)
11:28:32	0/-1	---M--	302	error ('')			https://i.imgur.com/zD2Atz7.jpeg	C:/Users/ADmin/Documents/fdsfdsf/i.imgur.com/zD2Atz7.6c.delayed	(from https://www.simpletraffic.co/index)
11:28:32	102309/102309	---M--	200	added ('OK')	image/png	etag:%2218fa5-5a626bfce1c10%22	https://www.simpletraffic.co/front/assets/vendor/dzsparallaxer/img/fog_clouds_png_by_paradise234-d5czivb.png	C:/Users/ADmin/Documents/fdsfdsf/www.simpletraffic.co/front/assets/vendor/dzsparallaxer/img/fog_clouds_png_by_paradise234-d5czivb.png	(from https://www.simpletraffic.co/front/assets/vendor/dzsparallaxer/dzsparallaxer.css)
11:28:33	457980/457980	---M-Z	200	added ('OK')	text/css	etag:%226fcfc-5a7bb25d1fe09-gzip%22	https://www.simpletraffic.co/front/assets/css/theme.css	C:/Users/ADmin/Documents/fdsfdsf/www.simpletraffic.co/front/assets/css/theme.css	(from https://www.simpletraffic.co/order)
11:28:34	6447/6447	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-192f%22	https://cdnjs.cloudflare.com/ajax/libs/slim-select/1.23.0/slimselect.min.css	C:/Users/ADmin/Documents/fdsfdsf/cdnjs.cloudflare.com/ajax/libs/slim-select/1.23.0/slimselect.min.css	(from https://www.simpletraffic.co/order)
11:28:34	12547/12547	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Oct%202020%2004:51:36%20GMT	https://www.simpletraffic.co/cdnjs.cloudflare.com	C:/Users/ADmin/Documents/fdsfdsf/www.simpletraffic.co/cdnjs.cloudflare.com	(from https://www.simpletraffic.co/order)
